Generation	Freq_c	Freq_CC	Freq_Cc	Freq_cc
144	0.005155	0.989717	0.010256	0.000027
145	0.005128	0.989770	0.010204	0.000026
146	0.005102	0.989822	0.010152	0.000026
147	0.005076	0.989873	0.010101	0.000026
148	0.005051	0.989924	0.010050	0.000026
149	0.005025	0.989975	0.010000	0.000025
150	0.005000	0.990025	0.009950	0.000025
151	0.004975	0.990075	0.009901	0.000025
152	0.004950	0.990124	0.009852	0.000025
153	0.004926	0.990172	0.009804	0.000024
154	0.004902	0.990220	0.009756	0.000024
155	0.004878	0.990268	0.009709	0.000024
156	0.004854	0.990315	0.009662	0.000024
157	0.004831	0.990362	0.009615	0.000023
158	0.004808	0.990408	0.009569	0.000023
159	0.004785	0.990454	0.009524	0.000023
160	0.004762	0.990499	0.009478	0.000023
161	0.004739	0.990544	0.009434	0.000022
162	0.004717	0.990588	0.009389	0.000022
163	0.004695	0.990632	0.009346	0.000022
164	0.004673	0.990676	0.009302	0.000022
165	0.004651	0.990719	0.009259	0.000022
166	0.004630	0.990762	0.009216	0.000021
167	0.004608	0.990805	0.009174	0.000021
168	0.004587	0.990847	0.009132	0.000021
169	0.004566	0.990888	0.009091	0.000021
170	0.004545	0.990930	0.009050	0.000021
171	0.004525	0.990971	0.009009	0.000020
172	0.004505	0.991011	0.008968	0.000020
173	0.004484	0.991051	0.008928	0.000020
174	0.004464	0.991091	0.008889	0.000020
175	0.004444	0.991131	0.008849	0.000020
176	0.004425	0.991170	0.008810	0.000020
177	0.004405	0.991209	0.008772	0.000019
178	0.004386	0.991247	0.008733	0.000019
179	0.004367	0.991285	0.008695	0.000019
180	0.004348	0.991323	0.008658	0.000019
181	0.004329	0.991361	0.008621	0.000019
182	0.004310	0.991398	0.008584	0.000019
183	0.004292	0.991435	0.008547	0.000018
184	0.004274	0.991471	0.008510	0.000018
185	0.004255	0.991507	0.008474	0.000018
186	0.004237	0.991543	0.008439	0.000018
187	0.004219	0.991579	0.008403	0.000018
188	0.004202	0.991614	0.008368	0.000018
189	0.004184	0.991649	0.008333	0.000018
190	0.004167	0.991684	0.008299	0.000017
191	0.004149	0.991718	0.008264	0.000017
192	0.004132	0.991753	0.008230	0.000017
193	0.004115	0.991786	0.008197	0.000017
194	0.004098	0.991820	0.008163	0.000017
195	0.004082	0.991853	0.008130	0.000017
196	0.004065	0.991886	0.008097	0.000017
197	0.004049	0.991919	0.008064	0.000016
198	0.004032	0.991952	0.008032	0.000016
199	0.004016	0.991984	0.008000	0.000016
200	0.004000	0.992016	0.007968	0.000016
201	0.003984	0.992048	0.007936	0.000016
202	0.003968	0.992079	0.007905	0.000016
203	0.003953	0.992110	0.007874	0.000016
204	0.003937	0.992141	0.007843	0.000016
205	0.003922	0.992172	0.007812	0.000015
206	0.003906	0.992203	0.007782	0.000015
207	0.003891	0.992233	0.007752	0.000015
208	0.003876	0.992263	0.007722	0.000015
209	0.003861	0.992293	0.007692	0.000015
210	0.003846	0.992322	0.007663	0.000015
211	0.003831	0.992352	0.007633	0.000015
212	0.003817	0.992381	0.007604	0.000015
213	0.003802	0.992410	0.007576	0.000014
214	0.003788	0.992439	0.007547	0.000014
215	0.003774	0.992467	0.007519	0.000014
216	0.003759	0.992495	0.007491	0.000014
217	0.003745	0.992523	0.007463	0.000014
218	0.003731	0.992551	0.007435	0.000014
219	0.003717	0.992579	0.007407	0.000014
220	0.003704	0.992606	0.007380	0.000014
221	0.003690	0.992634	0.007353	0.000014
222	0.003676	0.992661	0.007326	0.000014
223	0.003663	0.992687	0.007299	0.000013
224	0.003650	0.992714	0.007273	0.000013
225	0.003636	0.992740	0.007246	0.000013
226	0.003623	0.992767	0.007220	0.000013
227	0.003610	0.992793	0.007194	0.000013
228	0.003597	0.992819	0.007168	0.000013
229	0.003584	0.992844	0.007143	0.000013
230	0.003571	0.992870	0.007117	0.000013
231	0.003559	0.992895	0.007092	0.000013
232	0.003546	0.992920	0.007067	0.000013
233	0.003534	0.992945	0.007042	0.000012
234	0.003521	0.992970	0.007017	0.000012
235	0.003509	0.992995	0.006993	0.000012
236	0.003497	0.993019	0.006969	0.000012
237	0.003484	0.993043	0.006944	0.000012
238	0.003472	0.993068	0.006920	0.000012
239	0.003460	0.993092	0.006896	0.000012
240	0.003448	0.993115	0.006873	0.000012
241	0.003436	0.993139	0.006849	0.000012
242	0.003425	0.993162	0.006826	0.000012
243	0.003413	0.993186	0.006803	0.000012
244	0.003401	0.993209	0.006780	0.000012
245	0.003390	0.993232	0.006757	0.000011
246	0.003378	0.993255	0.006734	0.000011
247	0.003367	0.993277	0.006711	0.000011
248	0.003356	0.993300	0.006689	0.000011
249	0.003344	0.993322	0.006667	0.000011
250	0.003333	0.993344	0.006644	0.000011
251	0.003322	0.993367	0.006622	0.000011
252	0.003311	0.993388	0.006601	0.000011
253	0.003300	0.993410	0.006579	0.000011
254	0.003289	0.993432	0.006557	0.000011
255	0.003279	0.993453	0.006536	0.000011
256	0.003268	0.993475	0.006515	0.000011
257	0.003257	0.993496	0.006493	0.000011
258	0.003247	0.993517	0.006472	0.000011
259	0.003236	0.993538	0.006452	0.000010
260	0.003226	0.993559	0.006431	0.000010
261	0.003215	0.993579	0.006410	0.000010
262	0.003205	0.993600	0.006390	0.000010
263	0.003195	0.993620	0.006369	0.000010
264	0.003185	0.993641	0.006349	0.000010
265	0.003175	0.993661	0.006329	0.000010
266	0.003165	0.993681	0.006309	0.000010
267	0.003155	0.993701	0.006289	0.000010
268	0.003145	0.993721	0.006270	0.000010
269	0.003135	0.993740	0.006250	0.000010
270	0.003125	0.993760	0.006230	0.000010
271	0.003115	0.993779	0.006211	0.000010
272	0.003106	0.993798	0.006192	0.000010
273	0.003096	0.993818	0.006173	0.000010
274	0.003086	0.993837	0.006154	0.000010
275	0.003077	0.993856	0.006135	0.000009
276	0.003067	0.993874	0.006116	0.000009
277	0.003058	0.993893	0.006098	0.000009
278	0.003049	0.993912	0.006079	0.000009
279	0.003040	0.993930	0.006061	0.000009
280	0.003030	0.993949	0.006042	0.000009
281	0.003021	0.993967	0.006024	0.000009
